from,to ,position,year_start,year_end,year_total,current,management,relation,region,,,,,,,,,,,,,,,,,
119,121,Arbeitsvorbereiter,2004,2013,8,1,1,1,Plauen,,,,,,,,,,,,,,,,,
119,65,Aufsichtsrat,2023,2025,2,2,1,1,Augsburg,,,,,,,,,,,,,,,,,
119,71,"Prozessplaner, Leitung",2013,2025,12,2,1,1,Augsburg,,,,,,,,,,,,,,,,,
122,65,Aufsichtsrat,2024,2025,1,2,1,1,Augsburg,,,,,,,,,,,,,,,,,
122,97,Betriebswirtschaftslehre,1989,1994,5,1,1,2,Augsburg,,,,,,,,,,,,,,,,,
122,123,Business Administration,1992,1993,1,1,1,2,Dayton-USA,,,,,,,,,,,,,,,,,
122,59,Trainee,1995,1996,2,1,1,1,Wolfsburg,,,,,,,,,,,,,,,,,
122,59,Leitung und div. Pos.,1996,2006,11,1,1,1,Wolfsburg,,,,,,,,,,,,,,,,,
124,59,Unternehmenszugehörigkeit,,,,,,,NA,,,,,,,,,,,,,,,,,
122,124,Vorsitzende der Geschäftsführung,2007,2010,4,1,1,1,Wolfsburg,,,,,,,,,,,,,,,,,
122,125,Geschäftsführer,2010,2014,3,1,1,1,Zwickau,,,,,,,,,,,,,,,,,
125,59,Unternehmenszugehörigkeit,,,,,,,NA,,,,,,,,,,,,,,,,,
122,126,Chief Financial Officer,2014,2018,4,1,2,1,Dornbirn-AUS,,,,,,,,,,,,,,,,,
122,127,Aufsichtsrat,2016,2019,3,1,1,1,Schramberg,,,,,,,,,,,,,,,,,
122,128,Aufsichtsrat,2014,2020,6,1,1,1,Berlin,,,,,,,,,,,,,,,,,
122,129,Chief Financial Officer,2019,2021,2,1,2,1,Düsseldorf,,,,,,,,,,,,,,,,,
122,130,Verwaltungsrat,2020,2022,2,1,1,1,Luzern-SUI,,,,,,,,,,,,,,,,,
122,58,Aufsichtsrat,2022,2023,1,1,1,1,Nürnberg,,,,,,,,,,,,,,,,,
122,122,Board Advisor,2021,2025,4,2,1,1,NA,,,,,,,,,,,,,,,,,
122,131,"Aufsichtsrat, Senior Advisor",2022,2025,3,2,1,1,Jenbach-AUS,,,,,,,,,,,,,,,,,
122,132,Verwaltungsrat,2022,2025,2,2,1,1,Zürich-SUI,,,,,,,,,,,,,,,,,
133,65,Aufsichtsrat,2023,2025,2,2,1,1,Augsburg,,,,,,,,,,,,,,,,,
133,134,"Wirtschaftswissenschaften, Elektrotechnik",1980,1986,6,1,1,2,Darmstadt,,,,,,,,,,,,,,,,,
133,135,Assistant,1986,1987,1,1,1,1,Darmstadt,,,,,,,,,,,,,,,,,
133,136,"Manager, Director, Head of",1986,2001,15,1,1,1,"Essen, Ennigerloh, Rheinhausen, Johannesburg-ZAF",,,,,,,,,,,,,,,,,
133,137,Chief Executive Officer,2001,2006,4,1,2,1,Radolfzell,,,,,,,,,,,,,,,,,
121,138,Unternehmenszugehörigkeit,,,,,,,NA,,,,,,,,,,,,,,,,,
133,138,Vorstand,2007,2011,4,1,1,1,München,,,,,,,,,,,,,,,,,
133,139,Chief Executive Officer,2012,2015,4,1,2,1,Winterthur-SUI,,,,,,,,,,,,,,,,,
133,140,Beiratsvorsitzender,2018,2020,2,1,1,1,Herne,,,,,,,,,,,,,,,,,
133,141,Director,2020,2025,5,1,1,1,London-UK,,,,,,,,,,,,,,,,,
142,5,Aufsichtsrat,2016,2025,9,2,1,1,Düsseldorf,,,,,,,,,,,,,,,,,
142,143,Betriebswirtschaftslehre,1982,1987,5,1,1,2,Münster,,,,,,,,,,,,,,,,,
142,106,Wirtschaftsprüfer,1989,1993,4,1,1,1,Düsseldorf,,,,,,,,,,,,,,,,,
142,5,Manager,1993,2001,8,1,1,1,Düsseldorf,,,,,,,,,,,,,,,,,
142,144,Präsident,2013,2016,4,1,1,1,Berlin,,,,,,,,,,,,,,,,,
142,145,Mitgliedergruppenvertreter,2012,2025,13,2,1,1,Hannover,,,,,,,,,,,,,,,,,
142,146,Beiratsmitglied,2015,2025,10,2,1,1,Frankfurt am Main,,,,,,,,,,,,,,,,,
142,147,Member of the European Board of Adivsors,2017,2025,8,2,1,1,London-UK,,,,,,,,,,,,,,,,,
142,148,Aufsichtsrat,2019,2025,6,2,1,1,Essen,,,,,,,,,,,,,,,,,
142,149,Vorsitzender der Geschäftsführung,2018,2015,7,2,2,1,Datteln,,,,,,,,,,,,,,,,,
142,150,Vorstand,2001,2025,24,2,2,1,Duisburg,,,,,,,,,,,,,,,,,
151,5,Aufsichtsrat,2017,2025,8,2,1,1,Düsseldorf,,,,,,,,,,,,,,,,,
151,45,Maschinenbau,1975,1981,6,1,1,2,Karlsruhe,,,,,,,,,,,,,,,,,
151,45,Promotion,1981,1985,4,1,1,2,Karlsruhe,,,,,,,,,,,,,,,,,
151,152,Trainee,1985,1987,2,1,1,1,München,,,,,,,,,,,,,,,,,
151,152,"Qualitätsmanager, Führungspos. ",1987,1999,12,1,1,1,München,,,,,,,,,,,,,,,,,
151,152,Leitung in div. Positionen,2000,2006,6,1,1,1,München,,,,,,,,,,,,,,,,,
151,153,Vorstand,2006,2016,10,1,2,1,München,,,,,,,,,,,,,,,,,
153,152,Unternehmenszugehörigkeit,,,,,,,NA,,,,,,,,,,,,,,,,,
154,3,Executive Vice President,1990,2025,35,2,2,1,Kongsberg,,,,,,,,,,,,,,,,,
155,3,Executive Vice President,2007,2025,18,2,2,1,Kongsberg,,,,,,,,,,,,,,,,,
155,156,NA,1999,2001,2,1,1,2,NA,,,,,,,,,,,,,,,,,
157,3,Executive Vice President,2013,2025,12,2,2,1,Kongsberg,,,,,,,,,,,,,,,,,
158,5,Aufsichtsrat,2024,2025,1,2,1,1,Düsseldorf,,,,,,,,,,,,,,,,,
158,160,Business Administration,NA,1996,NA,1,1,2,Trier,,,,,,,,,,,,,,,,,
158,161,"Manager, Senior Manager",1996,2002,6,1,1,1,Ludwigshafen,,,,,,,,,,,,,,,,,
157,159,Chief Financial Officer,2010,2013,5,1,1,1,Mandal,,,,,,,,,,,,,,,,,
158,161,Director,2002,2003,1,1,1,1,Ludwigshafen,,,,,,,,,,,,,,,,,
158,161,"Vice President, Senior Vice President",2004,2009,5,1,1,1,Ludwigshafen,,,,,,,,,,,,,,,,,
158,161,President,2009,2017,8,1,2,1,Ludwigshafen,,,,,,,,,,,,,,,,,
158,161,Vorstand,2017,2023,6,1,2,1,Ludwigshafen,,,,,,,,,,,,,,,,,
